name,rmsd_std_300,gyr_cdrs_Rg_std_350,bonds_contacts_std_350,rmsf_cdrl1_std_350,sasa_cdrl1_std_350,sasa_cdrl2_std_400,300-s2_b=2.5_eq=20,r-lamda_b=2.5_eq=20,300-std_b=2.5_eq=20,r-lamda_b=5_eq=20,r-lamda_b=12.5_eq=20,tm
DAB012116,0.0123814003359203,0.0193868799980717,16.90909127335406,0.0575220323289618,0.2607015340730547,0.1554586442602685,0.8621393588305657,0.8108695723021433,0.0297195358270204,0.7495654346510302,0.7569934419663877,-1.9677876232010465
DAB006830,0.0177700230253906,0.0147545652435853,14.453598150148096,0.0591177053894928,0.2921846531683607,0.200093031878466,0.8625956214972006,0.8409151839652065,0.0305545813885057,0.8237745367421975,0.7668690554492827,-0.8178708235857249
DAB011918,0.0523188571705538,0.0421035005057578,14.148016829748494,0.0791965554105543,0.4524805760712238,0.1820746692864668,0.8628076680611984,0.8577279874867552,0.0286594290297893,0.8447854852076312,0.7365460601568324,1.3142665757010172
DAB006824,0.015827390945568,0.0328310781356251,14.679425149545484,0.0342327573761284,0.2327222479138748,0.2363098816599495,0.859181671176623,0.847568915051889,0.0345161596308848,0.8154565779334222,0.7695937095922969,-0.362695423737993
DAB006719,0.0166520400239182,0.0164594585752837,13.736014921791242,0.0696303171091978,0.319754838393857,0.163649379350483,0.8633013232149507,0.8394204613307906,0.0293501513407634,0.8191583814378469,0.7604599067207031,0.3919374760095613
DAB005034,0.0121448447558609,0.0299148366926215,14.020655397136942,0.0482899885110548,0.2652317502694725,0.1496275262020477,0.8629912836604414,0.8595162824661974,0.0282756083048373,0.8597091601179894,0.7993658564464656,0.13462979189620775
DAB006605,0.0245380581790507,0.0178756222732277,16.177878405152313,0.0649776705323742,0.4142405716119265,0.2451837149891195,0.8579080627025706,0.7755905829352878,0.0381326538398989,0.7544854076863307,0.6925038226957345,-2.099548923156968
DAB010635,0.0271854431306998,0.0246176548725762,14.91977992782916,0.0684949066071669,0.3258817531072657,0.1890672591633138,0.8597189460808379,0.8216492765431175,0.032655718788478,0.8050327590493924,0.7729591991197028,1.0627222757851649
DAB006845,0.0112608718897316,0.0298460735560939,14.677262928072304,0.039725573604196,0.2854341491641833,0.2071650051555705,0.8631733039142409,0.8326826210510243,0.0276127350351331,0.8015359010230503,0.7691216263223574,0.28413277604562426
DAB001535,0.0189940677037841,0.0294271121382329,14.70231038654662,0.0798201161310756,0.3914090414440853,0.1750488468145911,0.8636684931025568,0.8396839130078532,0.0273945016293153,0.8138969036555187,0.7590788153587718,0.4877638759775044
DAB006860,0.0157532451755149,0.0185861362245118,15.73671241797756,0.0428282893928351,0.2577181157512018,0.1886950044500104,0.8624297517789938,0.8473312715118748,0.0284042908338216,0.8181745236003897,0.7551580477765473,-1.3329377234134205
DAB006823,0.0336221063423823,0.0195790368943378,14.272484219755762,0.043890814670419,0.2461847538217245,0.2092281987030488,0.8583024868420606,0.8142886848820519,0.0345521520744382,0.7683365938995794,0.7491962882634712,-0.19499922379409212
DAB006863,0.0169760877411462,0.0212420769857346,14.959773612811432,0.037114288022989,0.2567658280242991,0.1822520437011295,0.8609091339141737,0.816666082059188,0.031596068177688,0.7911214965941438,0.7368646325277645,-1.560525423337286
DAB006820,0.033347346838085,0.0215379787839775,14.387583149311965,0.0593498719912436,0.3299555132756418,0.1575712626871222,0.8635599066029271,0.8257560509635435,0.0281886862867915,0.8149783565221378,0.8026881580809644,1.8053768755367268
DAB005026,0.0278346155212982,0.0320772688941637,15.37171879819463,0.0786546502376051,0.3443874111104384,0.1565661108832014,0.8626577296042298,0.8203912846137386,0.0285519427811102,0.8076294067467834,0.750382293887048,0.45870768844757415
DAB006762,0.0200371810117808,0.0353425984685135,13.6591355279249,0.1007779784440794,0.3949079734401324,0.1467882739611314,0.8619045528183563,0.8113657589023903,0.0308331148806608,0.7717006219002746,0.7300819965238748,0.08050167611374578
DAB005019,0.01682804916836,0.0129704520474441,14.75609040626983,0.0481158595059882,0.259776377602583,0.1564306218738689,0.864086921498492,0.8383814150177473,0.0283420348925204,0.7855823494451348,0.7370605512421754,0.3083818897170023
DAB006693,0.0216126643250209,0.0242160315304396,14.58284239947194,0.0993798311115391,0.4074374160016676,0.1858724654254301,0.8626415520471301,0.8623720849712664,0.0289133139285759,0.8458248445791995,0.8067481724320569,0.739308175893357
DAB006729,0.0108873401399601,0.0245639625721495,14.260762035482044,0.0515099117864212,0.2375903665353094,0.1818139901389393,0.8608567541481981,0.8099038241059552,0.0319713921896432,0.7895541837342498,0.7219121713508814,0.49974217597349835
