,gyr_cdrs_Rg_std_350,bonds_contacts_std_350,rmsf_cdrl1_std_350,tm
0,0.0193868799980717,16.90909127335406,0.0575220323289618,-1.9677876232010465
1,0.0147545652435853,14.453598150148096,0.0591177053894928,-0.8178708235857249
2,0.0421035005057578,14.148016829748494,0.0791965554105543,1.3142665757010172
3,0.0328310781356251,14.679425149545484,0.0342327573761284,-0.362695423737993
4,0.0164594585752837,13.736014921791242,0.0696303171091978,0.3919374760095613
5,0.0299148366926215,14.020655397136942,0.0482899885110548,0.1346297918962077
6,0.0178756222732277,16.177878405152313,0.0649776705323742,-2.099548923156968
7,0.0246176548725762,14.91977992782916,0.0684949066071669,1.0627222757851649
8,0.0298460735560939,14.677262928072304,0.039725573604196,0.2841327760456242
9,0.0294271121382329,14.70231038654662,0.0798201161310756,0.4877638759775044
10,0.0185861362245118,15.73671241797756,0.0428282893928351,-1.3329377234134203
11,0.0195790368943378,14.272484219755762,0.043890814670419,-0.1949992237940921
12,0.0212420769857346,14.959773612811432,0.037114288022989,-1.560525423337286
13,0.0215379787839775,14.387583149311965,0.0593498719912436,1.8053768755367268
14,0.0320772688941637,15.37171879819463,0.0786546502376051,0.4587076884475741
15,0.0353425984685135,13.6591355279249,0.1007779784440794,0.0805016761137457
16,0.0129704520474441,14.75609040626983,0.0481158595059882,0.3083818897170023
17,0.0242160315304396,14.58284239947194,0.0993798311115391,0.739308175893357
18,0.0245639625721495,14.260762035482044,0.0515099117864212,0.4997421759734983
