,pro_mass,ABangle_HL,tm
0,25.17172052,-63.47824576,-1.9677876232010465
1,25.6569262,-59.798150660000005,-0.8178708235857249
2,25.5897796,-66.64980612000001,1.3142665757010172
3,25.8086869,-70.1536305,-0.362695423737993
4,24.86836396,-65.78359734,0.3919374760095613
5,24.10013606,-62.45213564,0.1346297918962077
6,26.22433116,-64.72365812,-2.099548923156968
7,25.15626068,-65.45685476,1.0627222757851649
8,25.072449260000003,-66.46387602,0.2841327760456242
9,24.32700184,-70.51868596,0.4877638759775044
10,25.62854476,-77.41974262,-1.3329377234134203
11,25.868972600000003,-70.95008116,-0.1949992237940921
12,25.63432366,-75.49084012,-1.560525423337286
13,25.21459686,-72.66757364,1.8053768755367268
14,25.13867936734694,-74.0713901632653,0.4587076884475741
15,24.27252648,-71.93850687999999,0.0805016761137457
16,24.9695367,-66.47723196,0.3083818897170023
17,24.85355906,-68.43526630000001,0.739308175893357
18,25.08650048,-74.0970788,0.4997421759734983
